A Day at the Races	(Commodore64)
A Fistful of Bucks	(Commodore64)
A Journey Tio The Centre Of The Earth	(Commodore64)
A Journey to the Centre of the Earth	(Commodore64)
A Question of Scruples	(Commodore64)
A Spy Tale	(Commodore64)
A View to a Kill	(Commodore64)
Aaargh!	(Commodore64)
Abrasco Golf	(Commodore64)
Abyss	(Commodore64)
Acceleration	(Commodore64)
Accolade Comics: Steve Keen, Private Spy	(Commodore64)
Ace 2	(Commodore64)
Ace 2088	(Commodore64)
Ace of Aces	(Commodore64)
Ace of Hearts	(Commodore64)
Ace: Air Combat Emulator	(Commodore64)
Aces Up	(Commodore64)
Acid Runner	(Commodore64)
Acinna	(Commodore64)
AcroJet: The Advanced Flight Simulator	(Commodore64)
Action Biker	(Commodore64)
Action Fighter	(Commodore64)
Action Force	(Commodore64)
Actionauts	(Commodore64)
Actionauts II	(Commodore64)
Ad Infinitum	(Commodore64)
Addicta Ball	(Commodore64)
Adidas Championship Football	(Commodore64)
Adonis	(Commodore64)
Advanced Dungeons & Dragons: Dragons of Flame	(Commodore64)
Advanced Dungeons & Dragons: Dragonstrike	(Commodore64)
Advanced Dungeons & Dragons: Dungeon Master's Assistant Volume 1: Encounters	(Commodore64)
Advanced Dungeons & Dragons: Heroes of the Lance	(Commodore64)
Advanced Dungeons & Dragons: Hillsfar	(Commodore64)
Advanced Dungeons & Dragons: Secret of the Silver Blades	(Commodore64)
Advanced Dungeons & Dragons: War of the Lance	(Commodore64)
Advanced Pinball Simulator	(Commodore64)
Adventure in Serenia	(Commodore64)
Adventure Quest	(Commodore64)
Affen-Jagd	(Commodore64)
AFO	(Commodore64)
African Safari	(Commodore64)
After Burner - USA	(Commodore64)
After Burner	(Commodore64)
After the War	(Commodore64)
Aftermath	(Commodore64)
Aftermath	(Commodore64)
Agent Orange	(Commodore64)
Agent USA	(Commodore64)
Agent X II: The Mad Prof's Back!	(Commodore64)
Ah Diddums	(Commodore64)
Aidon Apocalypse	(Commodore64)
Air Rescue	(Commodore64)
Air Support	(Commodore64)
Air Traffic Controller	(Commodore64)
Airborne Ranger	(Commodore64)
Airline	(Commodore64)
Airraid	(Commodore64)
Airwolf	(Commodore64)
Airwolf 2	(Commodore64)
Aknakeres”	(Commodore64)
Ala	(Commodore64)
Alcazar	(Commodore64)
Alexander The Creep	(Commodore64)
Alf in the Color Caves	(Commodore64)
Ali Baba And The Forty Thieves	(Commodore64)
Aliants: The Desperate Battle for Earth	(Commodore64)
Alice In Videoland	(Commodore64)
Alice In Wonderland	(Commodore64)
Alien	(Commodore64)
Alien	(Commodore64)
Alien	(Commodore64)
Alien	(Commodore64)
Alien Attack	(Commodore64)
Alien Brood	(Commodore64)
Alien Panic	(Commodore64)
Alien Rescue	(Commodore64)
Alien Syndrome	(Commodore64)
Alien³	(Commodore64)
Aliens	(Commodore64)
Aliens: The Computer Game	(Commodore64)
Alioth	(Commodore64)
All Risks	(Commodore64)
Alley Oops	(Commodore64)
Alleykat	(Commodore64)
Alloyrun	(Commodore64)
Almazz	(Commodore64)
Alpha Omega Run	(Commodore64)
Alter Ego	(Commodore64)
Altered Beast	(Commodore64)
Alternate Reality: The City	(Commodore64)
Alternate Reality: The Dungeon	(Commodore64)
Alternative World Games	(Commodore64)
Amaurote	(Commodore64)
Amazon	(Commodore64)
Ambush	(Commodore64)
American 3D Pool	(Commodore64)
American Tag Team Wrestling	(Commodore64)
Amnesia	(Commodore64)
Anarchy	(Commodore64)
Ancipital	(Commodore64)
Android Attack	(Commodore64)
Android Control	(Commodore64)
Andromeda Conquest	(Commodore64)
Andy Capp	(Commodore64)
Angel of the Hell	(Commodore64)
Angle	(Commodore64)
Angleball	(Commodore64)
Animated Strip Poker	(Commodore64)
Annaconda	(Commodore64)
Annals of Rome	(Commodore64)
Annihilator	(Commodore64)
Annihilator II	(Commodore64)
Another World	(Commodore64)
Ant Attack	(Commodore64)
Anter Planter	(Commodore64)
Antics	(Commodore64)
Apache Gold	(Commodore64)
Apache Raid	(Commodore64)
Apache Strike	(Commodore64)
APB	(Commodore64)
Ape Craze	(Commodore64)
Apollo 18	(Commodore64)
Apoxoly	(Commodore64)
Apple Cider Spider	(Commodore64)
Apple Frenzy	(Commodore64)
Apple Willie	(Commodore64)
Aqua	(Commodore64)
Aqua Racer	(Commodore64)
Aquanaut	(Commodore64)
Aquanaut	(Commodore64)
Aquaplane	(Commodore64)
Arac	(Commodore64)
Araknifoe	(Commodore64)
Arc Doors	(Commodore64)
Arcade Classic	(Commodore64)
Arcade Classics	(Commodore64)
Arcade Flight Simulator	(Commodore64)
Arcade Fruit Machine: Cash 'n' Grab	(Commodore64)
Arcade Trivia Quiz	(Commodore64)
Arcadia 64	(Commodore64)
Arcana	(Commodore64)
Archipelago	(Commodore64)
Archon	(Commodore64)
Archon II: Adept	(Commodore64)
Archon III: Exciter	(Commodore64)
Arctic Fox	(Commodore64)
Arctic Shipwreck	(Commodore64)
Ardok the Barbarian	(Commodore64)
Ardy The Aardvark	(Commodore64)
Arena	(Commodore64)
Arena 3000	(Commodore64)
Arex	(Commodore64)
Ark Pandora	(Commodore64)
Arkanoid	(Commodore64)
Arkanoid II: Revenge of Doh	(Commodore64)
Armalyte	(Commodore64)
Armourdillo	(Commodore64)
Army Days	(Commodore64)
Army Moves	(Commodore64)
Arnie	(Commodore64)
Arnie 2	(Commodore64)
Arrow	(Commodore64)
Arrow Of Death	(Commodore64)
Artax	(Commodore64)
Arthur Noid	(Commodore64)
Artillery	(Commodore64)
Artillery '90	(Commodore64)
Artillery Duel	(Commodore64)
Artura	(Commodore64)
Artworx Strip Poker	(Commodore64)
Aspar G.P. Master	(Commodore64)
Assault Course	(Commodore64)
Assault Machine	(Commodore64)
Asterix and the Magic Carpet	(Commodore64)
Asterix and the Magic Cauldron	(Commodore64)
Astonishing Adv. Of Mr. Wee	(Commodore64)
Astral Attack	(Commodore64)
Astral Zone	(Commodore64)
Astro Blaster	(Commodore64)
Astro Chase	(Commodore64)
Astro Dodge	(Commodore64)
Astroblitz	(Commodore64)
Astronaut	(Commodore64)
Asylum	(Commodore64)
ATA	(Commodore64)
Atari II	(Commodore64)
ATF	(Commodore64)
Athena	(Commodore64)
Atom Ant	(Commodore64)
Atomic Handball	(Commodore64)
Atomic Robo-Kid	(Commodore64)
Atomic Robokid	(Commodore64)
Atomino	(Commodore64)
Atomix	(Commodore64)
Att. o.t. Phantom Kar. Dev.	(Commodore64)
Attack of the Mutant Camels	(Commodore64)
Attack of the Phantom Karate Devils	(Commodore64)
Attack of the Software Pirates	(Commodore64)
Attack On Windscale	(Commodore64)
Attribute Blocks	(Commodore64)
ATV Simulator	(Commodore64)
Auf Wiedersehen Monty	(Commodore64)
Augie Doggie & Doggie Daddy	(Commodore64)
Auriga	(Commodore64)
Aussie Games	(Commodore64)
Autoduel	(Commodore64)
Automan	(Commodore64)
Automania	(Commodore64)
Autotest Simulator	(Commodore64)
Avenger: The Way of the Tiger II	(Commodore64)
Avoid the Noid	(Commodore64)
Axis Assassin	(Commodore64)
Aztec Challenge	(Commodore64)
Aztec Tomb	(Commodore64)
B-1 Nuclear Bomber	(Commodore64)
B.C. Bill	(Commodore64)
Baal	(Commodore64)
Baby Blues	(Commodore64)
Baby Monty	(Commodore64)
Baby Pac-Man	(Commodore64)
Bac Pac	(Commodore64)
Back to Reality	(Commodore64)
Back to the Future	(Commodore64)
Back to the Future Part II	(Commodore64)
Back to the Future Part III	(Commodore64)
Backgammon	(Commodore64)
Bad Blood	(Commodore64)
Bad Cat	(Commodore64)
Badballs	(Commodore64)
Badlands	(Commodore64)
Bagdad	(Commodore64)
Bagels	(Commodore64)
Bagitman	(Commodore64)
Balakon Raider	(Commodore64)
Ball Crazy	(Commodore64)
Ball Fever	(Commodore64)
Ball Land II	(Commodore64)
Ball-Blasta	(Commodore64)
Ballblazer	(Commodore64)
Ballistix	(Commodore64)
Balloon Crazy	(Commodore64)
Balloon Raid	(Commodore64)
Baltic 1985	(Commodore64)
Bandana City	(Commodore64)
Bandit	(Commodore64)
Bandits	(Commodore64)
Bandits at Zero	(Commodore64)
Bangers And Mash	(Commodore64)
Bangkok Knights	(Commodore64)
Barbarian	(Commodore64)
Barbarian II: The Dungeon of Drax	(Commodore64)
Barbarian: The Ultimate Warrior	(Commodore64)
Barbie	(Commodore64)
Barmy Builders	(Commodore64)
Barry McGuigan World Championship Boxing	(Commodore64)
Basil the Great Mouse Detective	(Commodore64)
Basket Master	(Commodore64)
Basket Playoff	(Commodore64)
Basketball Sam & Ed	(Commodore64)
Bat Attack	(Commodore64)
Batalyx	(Commodore64)
Bathtime	(Commodore64)
Batman: The Caped Crusader	(Commodore64)
Batman: The Movie	(Commodore64)
Batter Up!	(Commodore64)
Battle Bars	(Commodore64)
Battle Bound Project	(Commodore64)
Battle Chess	(Commodore64)
Battle Chopper	(Commodore64)
Battle Command	(Commodore64)
Battle For Normandy	(Commodore64)
Battle Island	(Commodore64)
Battle Of Britain	(Commodore64)
Battle of the World	(Commodore64)
Battle Ships	(Commodore64)
Battle Through Time	(Commodore64)
Battle Valley	(Commodore64)
Battle Zone	(Commodore64)
Battle-Field	(Commodore64)
Battlefield	(Commodore64)
Battlestar Fighter	(Commodore64)
Battletech: The Crescent Hawk's Inception	(Commodore64)
Battling Boas	(Commodore64)
Batty	(Commodore64)
Bazair	(Commodore64)
Bazooka Bill	(Commodore64)
BC's Quest For Tires	(Commodore64)
Beach Blanket Volleyball	(Commodore64)
Beach Buggy Simulator	(Commodore64)
Beach Head	(Commodore64)
Beach Head II: The Dictator Strikes Back	(Commodore64)
Beach Head III	(Commodore64)
Beaky and the Egg Snatchers	(Commodore64)
Beam	(Commodore64)
Beamrider	(Commodore64)
Bear Bovver	(Commodore64)
Beat Ball	(Commodore64)
