007 James Bond	(Master System)
94 Super World Cup Soccer	(Master System)
A-Team, The Music	(Master System)
Ace of Aces	(Master System)
Action Fighter	(Master System)
Addams Family, The	(Master System)
Aerial Assault	(Master System)
After Burner	(Master System)
Air Rescue	(Master System)
Aladdin	(Master System)
Alex Kidd - BMX Trial	(Master System)
Alex Kidd - High Tech World	(Master System)
Alex Kidd - The Lost Stars	(Master System)
Alex Kidd in Miracle World	(Master System)
Alex Kidd in Shinobi World	(Master System)
ALF	(Master System)
Alibaba and 40 Thieves	(Master System)
Alien 3	(Master System)
Alien Storm	(Master System)
Alien Syndrome	(Master System)
Altered Beast	(Master System)
Andre Agassi Tennis	(Master System)
Arcade Smash Hits	(Master System)
Argos no Juujiken	(Master System)
Ariel - The Little Mermaid	(Master System)
Assault City	(Master System)
Asterix and the Great Rescue	(Master System)
Asterix and the Secret Mission	(Master System)
Asterix	(Master System)
Astro Warrior & Pit Pot	(Master System)
Astro Warrior	(Master System)
Ayrton Senna's Super Monaco GP II	(Master System)
Aztec Adventure - The Golden Road to Paradise	(Master System)
Back to the Future Part II	(Master System)
Back to the Future Part III	(Master System)
Baku Baku Animals	(Master System)
Bank Panic	(Master System)
Basket Ball Nightmare	(Master System)
Batman Returns	(Master System)
Battle Out Run	(Master System)
Battlemaniacs	(Master System)
Berlin no Kabe	(Master System)
Black Belt	(Master System)
Black Onyx, The	(Master System)
Blade Eagle 3D	(Master System)
Block Hole	(Master System)
Bobble Bobble	(Master System)
Bomb Jack	(Master System)
Bomber Raid	(Master System)
Bonanza Bros	(Master System)
Bonkers Wax Up!	(Master System)
Borderline	(Master System)
Bram Stoker's Dracula	(Master System)
Bubble Bobble	(Master System)
Buggy Run	(Master System)
C_So!	(Master System)
Cabbage Patch Kids	(Master System)
California Games II	(Master System)
California Games	(Master System)
Captain Silver	(Master System)
Casino Games	(Master System)
Castelo Ra Tin Bum	(Master System)
Castle of Illusion Starring Mickey Mouse	(Master System)
Castle, The	(Master System)
Chack'n Pop	(Master System)
Challenge Derby	(Master System)
Championship Lode Runner	(Master System)
Cheese Cat-astrophe with Speedy Gonzales	(Master System)
Choplifter (SG-1000)	(Master System)
Choplifter	(Master System)
Chuck Rock II - Son of Chuck	(Master System)
Chuck Rock	(Master System)
Circus Charlie	(Master System)
Cloud Master	(Master System)
Columns	(Master System)
Comic Bakery	(Master System)
Comical Machine Gun Joe	(Master System)
Complete Arcade Pack Collection, The	(Master System)
Congo Bongo	(Master System)
Cool Spot	(Master System)
Cosmic Spacehead	(Master System)
Cyber Shinobi, The	(Master System)
Cyborg Hunter	(Master System)
Cyborg Z	(Master System)
Daffy Duck in Hollywood	(Master System)
Dallyeora Pigu-Wang	(Master System)
Danan - The Jungle Fighter	(Master System)
Dead Angle	(Master System)
Deep Duck Trouble Starring Donald Duck	(Master System)
Defenders of Oasis - SMS Conversion	(Master System)
Desert Speedtrap - Starring Road Runner and Wile E. Coyote	(Master System)
Desert Strike	(Master System)
Dick Tracy	(Master System)
Dinobasher Starring Bignose the Caveman	(Master System)
Dinosaur Dooley, The	(Master System)
DiskCartGames	(Master System)
Doki Doki Penguin Land	(Master System)
Double Dragon	(Master System)
Double Hawk	(Master System)
Dr. HELLO	(Master System)
Dr. Robotnik's Mean Bean Machine	(Master System)
Dragon - The Bruce Lee Story	(Master System)
Dragon Crystal	(Master System)
Dragon Wang	(Master System)
Drol	(Master System)
Dynamite Duke	(Master System)
Dynamite Dux	(Master System)
Dynamite Headdy	(Master System)
E-SWAT - City Under Siege	(Master System)
E.I. - Exa Innova	(Master System)
Eagles 5	(Master System)
Earthworm Jim	(Master System)
Ecco the Dolphin - Tides of Time	(Master System)
Ecco the Dolphin	(Master System)
Elevator Action	(Master System)
Enduro Racer	(Master System)
Excellent Dizzy Collection, The	(Master System)
Exerion	(Master System)
FA Tetris	(Master System)
Fantastic Dizzy	(Master System)
Fantasy Zone - The Maze	(Master System)
Fantasy Zone II - The Tears of Opa-Opa	(Master System)
Fantasy Zone	(Master System)
Ferias Frustradas do Picapau	(Master System)
FIFA International Soccer	(Master System)
Fire & Forget II	(Master System)
Fire & Ice	(Master System)
Flash, The	(Master System)
Flashpoint	(Master System)
Flicky	(Master System)
Flintstones, The	(Master System)
Forgotten Worlds	(Master System)
Frogger	(Master System)
Fushigi no Oshiro Pit Pot	(Master System)
G-Loc Air Battle	(Master System)
Gaegujangi Kkachi	(Master System)
Gain Ground	(Master System)
Galactic Protector	(Master System)
Galaxian	(Master System)
Galaxy Force	(Master System)
GamesCart Collection	(Master System)
Gangster Town	(Master System)
Gauntlet	(Master System)
George Foreman's KO Boxing	(Master System)
Ghost House	(Master System)
Ghostbusters	(Master System)
Ghouls 'n Ghosts	(Master System)
Girl's Garden	(Master System)
Global Defense	(Master System)
Gold Miner-Cyco Bikes Collection	(Master System)
Golden Axe Warrior	(Master System)
Golden Axe	(Master System)
Golfamania	(Master System)
Golgo 13	(Master System)
Golvellius - Valley of Doom	(Master System)
GP Rider	(Master System)
GP World	(Master System)
Gulkave	(Master System)
Gun.Smoke	(Master System)
Guzzler	(Master System)
H.E.R.O.	(Master System)
Hang-On & Astro Warrior	(Master System)
Hang-On & Safari Hunt	(Master System)
Hang-On II	(Master System)
Hang-On	(Master System)
Heroes of the Lance	(Master System)
High School! Kimengumi	(Master System)
Home Alone	(Master System)
Home Mahjong	(Master System)
Hook	(Master System)
Hoshi wo Sagasite...	(Master System)
Hucal SC-3000	(Master System)
Hustle Chummy	(Master System)
Hyper Sports 2	(Master System)
Hyper Sports	(Master System)
Impossible Mission	(Master System)
Incredible Crash Dummies, The	(Master System)
Incredible Hulk, The	(Master System)
Indiana Jones and the Last Crusade	(Master System)
James 'Buster' Douglas Knockout Boxing	(Master System)
James Bond 007 - The Duel	(Master System)
James Pond II - Codename Robocod	(Master System)
Jang Pung 3	(Master System)
Janggun-ui Adeul	(Master System)
Joe Montana Football	(Master System)
Jungle Book, The	(Master System)
Jurassic Park	(Master System)
Kagaku (Gensokigou Master)	(Master System)
Kamikaze	(Master System)
Kenseiden	(Master System)
King & Balloon	(Master System)
King's Quest - Quest for the Crown	(Master System)
King's Valley	(Master System)
Klax	(Master System)
Knightmare II - The Maze of Galious	(Master System)
Krusty's Fun House	(Master System)
Kung Fu Kid	(Master System)
Land of Illusion Starring Mickey Mouse	(Master System)
Laser Ghost	(Master System)
Legend of Illusion Starring Mickey Mouse	(Master System)
Lemmings	(Master System)
Line of Fire	(Master System)
LinkWord	(Master System)
Lion King, The	(Master System)
Lode Runner	(Master System)
Loletta no Syouzou	(Master System)
Lord of the Sword	(Master System)
Loriciel's Z-80 Utilities Disk	(Master System)
Lucky Dime Caper, The - Starring Donald Duck	(Master System)
Magical Kid Wiz	(Master System)
Magical Tree	(Master System)
Mahjong Sengoku Jidai	(Master System)
Mahjong	(Master System)
Marble Madness	(Master System)
Marksman Shooting - Trap Shooting - Safari Hunt	(Master System)
Marksman Shooting - Trap Shooting	(Master System)
Master of Darkness	(Master System)
Masters of Combat	(Master System)
Maze Hunter 3D	(Master System)
Megumi Rescue	(Master System)
Mercs	(Master System)
Michael Jackson's Moonwalker	(Master System)
Mick & Mack as The Global Gladiators	(Master System)
Mickey's Ultimate Challenge	(Master System)
Micro Machines	(Master System)
Micro Xevious, The	(Master System)
Miracle Warriors - Seal of the Dark Lord	(Master System)
Missile Defense 3-D	(Master System)
Monaco GP	(Master System)
Monopoly	(Master System)
Montezuma's Revenge Featuring Panama Joe	(Master System)
Ms. Pac-Man	(Master System)
My Hero	(Master System)
N-Sub	(Master System)
Nekyuu Kousien	(Master System)
Nemesis	(Master System)
New Boggle Boggle	(Master System)
New Zealand Story, The	(Master System)
Nihonshi Nenpyou	(Master System)
Ninja Gaiden	(Master System)
Ninja Princess	(Master System)
Ninja, The	(Master System)
Olympiades	(Master System)
Olympic Gold	(Master System)
Operation Wolf	(Master System)
Orguss	(Master System)
Othello	(Master System)
Ottifants, The	(Master System)
OutRun 3D	(Master System)
OutRun Europa	(Master System)
OutRun	(Master System)
Pac-Man	(Master System)
Pac-Mania	(Master System)
Pacar	(Master System)
Pachinko II	(Master System)
Pachinko	(Master System)
Paperboy	(Master System)
Parlour Games	(Master System)
Pat Riley Basketball	(Master System)
Penguin Adventure	(Master System)
Penguin Land	(Master System)
Phantasy Star	(Master System)
Ping Pong (Konami's)	(Master System)
Pit Fighter	(Master System)
Pitfall II - The Lost Caverns	(Master System)
Pooyan	(Master System)
Pop Breaker	(Master System)
Pop Flamer	(Master System)
Populous	(Master System)
Poseidon Wars - Space Panic - Rambo	(Master System)
Poseidon Wars 3D	(Master System)
Power Boggle Boggle	(Master System)
Power Strike II	(Master System)
Power Strike	(Master System)
Predator 2	(Master System)
Prince of Persia	(Master System)
Pro Wrestling	(Master System)
Promocao Especial M.System III Compact	(Master System)
Psychic World	(Master System)
Psycho Fox	(Master System)
Putt & Putter	(Master System)
Puznic	(Master System)
Q-bert	(Master System)
Quartet	(Master System)
R-Type	(Master System)
R.C. Grand Prix	(Master System)
Rainbow Islands	(Master System)
Rambo - First Blood Part 2	(Master System)
Rambo III	(Master System)
Rampage	(Master System)
Rampart	(Master System)
Rastan	(Master System)
Ren & Stimpy - Quest for the Shaven Yak, The	(Master System)
Renegade	(Master System)
Rescue Mission	(Master System)
Road Rash	(Master System)
Robocop 3	(Master System)
Robocop versus The Terminator	(Master System)
Rock N' Bolt	(Master System)
Rocky	(Master System)
Running Battle	(Master System)
Safari Hunting	(Master System)
Safari Race	(Master System)
Sagaia	(Master System)
Samgukji III	(Master System)
San-Nin Mahjong	(Master System)
Satellite 7	(Master System)
Scramble Spirits	(Master System)
Sega Chess	(Master System)
Sega Flipper	(Master System)
Sega Galaga	(Master System)
SegaWord 3	(Master System)
Sekaishi Nenpyou	(Master System)
Sensible Soccer	(Master System)
Serizawa Hachidan no Tsumeshogi	(Master System)
Shadow Dancer - The Secret of Shinobi	(Master System)
Shadow of the Beast	(Master System)
Shanghai	(Master System)
